index,releasetime,score,star,title
1,上映时间：1993-07-26,9.5,"
                主演：张国荣,张丰毅,巩俐
        ",霸王别姬
2,上映时间：1994-09-10(加拿大),9.5,"
                主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿
        ",肖申克的救赎
3,上映时间：1994-09-14(法国),9.5,"
                主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼
        ",这个杀手不太冷
4,上映时间：1953-08-20(意大利),9.0,"
                主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特
        ",罗马假日
5,上映时间：1998-04-03,9.4,"
                主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩
        ",泰坦尼克号
6,上映时间：1939-12-15(美国),9.1,"
                主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰
        ",乱世佳人
7,上映时间：1993-07-01(中国香港),9.1,"
                主演：周星驰,巩俐,郑佩佩
        ",唐伯虎点秋香
8,上映时间：1940-05-17(美国),9.2,"
                主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森
        ",魂断蓝桥
9,上映时间：1993-11-30(美国),9.2,"
                主演：连姆·尼森,拉尔夫·费因斯,本·金斯利
        ",辛德勒的名单
10,上映时间：1999-02-13(中国香港),9.1,"
                主演：周星驰,莫文蔚,张柏芝
        ",喜剧之王
index,releasetime,score,star,title
1,上映时间：1993-07-26,9.5,"
                主演：张国荣,张丰毅,巩俐
        ",霸王别姬
2,上映时间：1994-09-10(加拿大),9.5,"
                主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿
        ",肖申克的救赎
3,上映时间：1994-09-14(法国),9.5,"
                主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼
        ",这个杀手不太冷
4,上映时间：1953-08-20(意大利),9.0,"
                主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特
        ",罗马假日
5,上映时间：1998-04-03,9.4,"
                主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩
        ",泰坦尼克号
6,上映时间：1939-12-15(美国),9.1,"
                主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰
        ",乱世佳人
7,上映时间：1993-07-01(中国香港),9.1,"
                主演：周星驰,巩俐,郑佩佩
        ",唐伯虎点秋香
8,上映时间：1940-05-17(美国),9.2,"
                主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森
        ",魂断蓝桥
9,上映时间：1993-11-30(美国),9.2,"
                主演：连姆·尼森,拉尔夫·费因斯,本·金斯利
        ",辛德勒的名单
10,上映时间：1999-02-13(中国香港),9.1,"
                主演：周星驰,莫文蔚,张柏芝
        ",喜剧之王
